,label,category,predicted,input,index,used_
0,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_01,0,3,BL21,3.0,True
1,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_01,1,3,C,10.0,True
2,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_01,2,2,Crooks,16.0,True
3,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_01,3,2,DH5a,23.0,True
4,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_01,4,0,MG1655,28.0,True
5,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_01,5,1,W,36.0,True
6,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_01,5,6,W,41.0,True
7,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_01,6,6,W3110,48.0,True
8,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_01,0,1,BL21,1.0,True
9,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_01,1,0,C,7.0,True
10,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_01,1,1,C,8.0,True
11,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_01,2,0,Crooks,14.0,True
12,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_01,3,0,DH5a,21.0,True
13,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_01,3,6,DH5a,27.0,True
14,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_01,4,6,MG1655,34.0,True
15,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_01,5,5,W,40.0,True
16,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_01,6,4,W3110,46.0,True
17,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_01,6,5,W3110,47.0,True
18,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_02,0,5,BL21,5.0,True
19,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_02,1,5,C,12.0,True
20,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_02,2,4,Crooks,18.0,True
21,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_02,3,4,DH5a,25.0,True
22,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_02,4,1,MG1655,29.0,True
23,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_02,5,3,W,38.0,True
24,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_02,6,3,W3110,45.0,True
25,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_02,0,5,BL21,5.0,True
26,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_02,1,5,C,12.0,True
27,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_02,2,4,Crooks,18.0,True
28,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_02,3,4,DH5a,25.0,True
29,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_02,4,3,MG1655,31.0,True
30,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_02,4,4,MG1655,32.0,True
31,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_02,5,3,W,38.0,True
32,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_02,6,2,W3110,44.0,True
33,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_03,0,2,BL21,2.0,True
34,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_03,1,0,C,7.0,True
35,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_03,2,1,Crooks,15.0,True
36,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_03,5,0,W,35.0,True
37,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_03,5,6,W,41.0,True
38,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_03,6,6,W3110,48.0,True
39,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_03,0,3,BL21,3.0,True
40,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_03,0,4,BL21,4.0,True
41,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_03,1,3,C,10.0,True
42,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_03,2,2,Crooks,16.0,True
43,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_03,2,3,Crooks,17.0,True
44,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_03,3,2,DH5a,23.0,True
45,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_03,4,1,MG1655,29.0,True
46,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_03,5,1,W,36.0,True
47,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_03,6,1,W3110,43.0,True
48,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_04,0,4,BL21,4.0,True
49,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_04,1,0,C,7.0,True
50,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_04,1,5,C,12.0,True
51,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_04,2,3,Crooks,17.0,True
52,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_04,5,2,W,37.0,True
53,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_04,6,1,W3110,43.0,True
54,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_04,0,6,BL21,6.0,True
55,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_04,1,6,C,13.0,True
56,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_04,2,5,Crooks,19.0,True
57,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_04,3,5,DH5a,26.0,True
58,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_04,4,4,MG1655,32.0,True
59,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_04,5,4,W,39.0,True
60,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_04,6,3,W3110,45.0,True
61,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_05,0,0,BL21,0.0,True
62,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_05,1,0,C,7.0,True
63,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_05,2,6,Crooks,20.0,True
64,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_05,3,5,DH5a,26.0,True
65,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_05,4,5,MG1655,33.0,True
66,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_05,6,4,W3110,46.0,True
67,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_05,0,6,BL21,6.0,True
68,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_05,1,1,C,8.0,True
69,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_05,1,6,C,13.0,True
70,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_05,2,5,Crooks,19.0,True
71,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_05,3,5,DH5a,26.0,True
72,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_05,5,4,W,39.0,True
73,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_05,5,5,W,40.0,True
74,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_05,6,3,W3110,45.0,True
75,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_06,0,2,BL21,2.0,True
76,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_06,1,2,C,9.0,True
77,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_06,2,1,Crooks,15.0,True
78,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_06,3,1,DH5a,22.0,True
79,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_06,4,0,MG1655,28.0,True
80,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_06,5,0,W,35.0,True
81,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_06,5,6,W,41.0,True
82,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_06,6,3,W3110,45.0,True
83,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_06,0,0,BL21,0.0,True
84,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_06,1,0,C,7.0,True
85,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_06,2,6,Crooks,20.0,True
86,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_06,4,5,MG1655,33.0,True
87,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_06,6,4,W3110,46.0,True
88,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_07,0,2,BL21,2.0,True
89,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_07,1,2,C,9.0,True
90,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_07,2,1,Crooks,15.0,True
91,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_07,3,1,DH5a,22.0,True
92,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_07,4,0,MG1655,28.0,True
93,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_07,5,0,W,35.0,True
94,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_07,5,3,W,38.0,True
95,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_07,6,1,W3110,43.0,True
96,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_07,0,1,BL21,1.0,True
97,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_07,0,6,BL21,6.0,True
98,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_07,1,6,C,13.0,True
99,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_07,2,0,Crooks,14.0,True
100,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_07,3,0,DH5a,21.0,True
101,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_07,3,6,DH5a,27.0,True
102,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_07,4,4,MG1655,32.0,True
103,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_07,4,6,MG1655,34.0,True
104,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_07,5,4,W,39.0,True
105,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_07,5,5,W,40.0,True
106,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_07,6,5,W3110,47.0,True
107,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_08,0,6,BL21,6.0,True
108,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_08,1,6,C,13.0,True
109,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_08,2,5,Crooks,19.0,True
110,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_08,3,5,DH5a,26.0,True
111,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_08,4,4,MG1655,32.0,True
112,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_08,5,4,W,39.0,True
113,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_08,6,3,W3110,45.0,True
114,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_08,0,3,BL21,3.0,True
115,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_08,1,3,C,10.0,True
116,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_08,2,2,Crooks,16.0,True
117,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_08,3,2,DH5a,23.0,True
118,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_08,4,1,MG1655,29.0,True
119,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_08,5,1,W,36.0,True
120,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_08,6,0,W3110,42.0,True
121,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_09,0,3,BL21,3.0,True
122,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_09,1,3,C,10.0,True
123,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_09,2,2,Crooks,16.0,True
124,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_09,3,2,DH5a,23.0,True
125,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_09,4,5,MG1655,33.0,True
126,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_09,5,1,W,36.0,True
127,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_09,6,0,W3110,42.0,True
128,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_09,0,5,BL21,5.0,True
129,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_09,1,4,C,11.0,True
130,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_09,1,5,C,12.0,True
131,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_09,2,4,Crooks,18.0,True
132,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_09,3,3,DH5a,24.0,True
133,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_09,3,4,DH5a,25.0,True
134,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_09,4,3,MG1655,31.0,True
135,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_09,4,5,MG1655,33.0,True
136,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_09,5,3,W,38.0,True
137,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_09,6,2,W3110,44.0,True
138,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_10,0,6,BL21,6.0,True
139,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_10,1,6,C,13.0,True
140,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_10,2,5,Crooks,19.0,True
141,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_10,3,5,DH5a,26.0,True
142,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_10,4,1,MG1655,29.0,True
143,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_10,5,1,W,36.0,True
144,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_10,6,0,W3110,42.0,True
145,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_10,0,2,BL21,2.0,True
146,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_10,1,2,C,9.0,True
147,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_10,2,1,Crooks,15.0,True
148,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_10,3,1,DH5a,22.0,True
149,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_10,5,2,W,37.0,True
150,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_11,0,6,BL21,6.0,True
151,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_11,1,6,C,13.0,True
152,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_11,2,5,Crooks,19.0,True
153,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_11,3,5,DH5a,26.0,True
154,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_11,4,4,MG1655,32.0,True
155,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_11,5,4,W,39.0,True
156,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_11,6,3,W3110,45.0,True
157,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_11,0,1,BL21,1.0,True
158,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_11,1,1,C,8.0,True
159,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_11,2,0,Crooks,14.0,True
160,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_11,3,0,DH5a,21.0,True
161,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_11,3,6,DH5a,27.0,True
162,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_11,4,6,MG1655,34.0,True
163,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_11,5,5,W,40.0,True
164,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_11,6,5,W3110,47.0,True
165,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_12,0,4,BL21,4.0,True
166,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_12,1,4,C,11.0,True
167,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_12,2,3,Crooks,17.0,True
168,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_12,3,3,DH5a,24.0,True
169,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_12,4,6,MG1655,34.0,True
170,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_12,5,5,W,40.0,True
171,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MSE_12,6,5,W3110,47.0,True
172,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_12,0,3,BL21,3.0,True
173,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_12,1,0,C,7.0,True
174,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_12,2,2,Crooks,16.0,True
175,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_12,2,6,Crooks,20.0,True
176,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_12,4,1,MG1655,29.0,True
177,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_12,4,5,MG1655,33.0,True
178,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_12,5,1,W,36.0,True
179,FC-16-1C7D-16_Unsupervised_Sampled_FCLog10_MAPE_12,6,4,W3110,46.0,True
